ARS_SUBJECT,CODE_STATUS,CODE_LEVEL,ID
corrosion protection equipment,ACTIVE,1,a205844d-ac3b-49d9-8ab0-303d4552c1a0
corrosion resistant chemical manufacturing equipment,ACTIVE,1,5105a13c-5e03-47c6-aa9a-3e370e43432a
corrosion resistant piping,ACTIVE,1,f7079a49-269a-400e-bb2a-ae5aae3ed454
cosmetics production,ACTIVE,1,31ed47fc-497e-459f-a708-279ab44efe37
counter-improvised explosive device equipment,ACTIVE,1,8abe0a62-3f79-434c-9ba3-3a71200856a7
countermeasure equipment,ACTIVE,1,c2143356-c2dc-4726-8eec-16428338515a
crowd control ammunition,ACTIVE,1,384d6be0-2903-4309-b9ff-bf837247d300
crucibles,ACTIVE,1,63a6bcf1-49e4-467f-8897-f3eca886a160
crude oil and petroleum products,ACTIVE,1,365bbd81-6659-431e-9329-2c8fd24e6964
cryogenic distillation columns,ACTIVE,1,608c0e28-7f0a-4a1e-a3db-b0b0644affbe
cryogenic equipment,ACTIVE,1,8b5c975a-2535-4efd-9b2d-00b9f65571ce
cryptanalytic equipment,ACTIVE,1,fd2f4207-20ba-4d15-839b-18f69b6b319b
cryptanalytic software,ACTIVE,1,36e5f067-edea-4f91-9b34-89f256e5f672
cuffs,ACTIVE,1,3a987734-0f0d-4d37-9bd0-87f133abded3
cutters/severing tools,ACTIVE,1,d77ccc9a-eeff-4621-b29b-abe895555cfb
damping fluids,ACTIVE,1,c64ccd98-5145-4803-bec6-6134c51edc5a
decoying/countermeasure equipment,ACTIVE,1,e43df267-6cdc-4f1e-86d0-a3e5936d918b
demolition charges/devices,ACTIVE,1,f2fd132c-b7a3-4e83-8c74-3332231868e0
depleted uranium,ACTIVE,1,3543c73d-a20a-4147-ad9d-295828576032
depth charges,ACTIVE,1,eaae0cea-696b-4567-b5b2-e04b9038f48d
design and manufacturing software,ACTIVE,1,ace10885-d936-489e-8deb-c5ed91e62301
detergent production,ACTIVE,1,483ba915-e3ef-4208-9fa0-798e82125bd4
detonating cord,ACTIVE,1,bf6125e0-c1e5-4833-a64b-b39b7b2c3e49
detonator firing sets,ACTIVE,1,e5d761fb-f655-4e53-bdad-eff522bb526e
deuterium,ACTIVE,1,a51473f9-1a32-4a21-be85-226e1a3edc76
deuterium compounds,ACTIVE,1,65605a60-09cd-4848-a87c-6a345fd2c683
deuterium mixtures,ACTIVE,1,b66630fe-f38c-45ee-917f-232d011d173a
deuterium production equipment,ACTIVE,1,2f43ec6a-0ac5-4fa0-9b20-b4357148fb5b
deuterium solutions,ACTIVE,1,30cc9086-0aaf-4318-8e4a-334b331625e0
developmental missile components,ACTIVE,1,ec384f8e-6dce-499a-9dab-a02b70f1c087
developmental warheads,ACTIVE,1,15d10a51-ccff-4263-a41e-11f8ad2324f2
devices containing alpha-emitting radionuclide compounds,ACTIVE,1,cc38b8f0-3df1-4704-b9ae-d83d24bb4dd7
devices containing alpha-emitting radionuclide mixtures,ACTIVE,1,1d98c115-59ca-49d9-b846-c0167f55f487
devices containing alpha-emitting radionuclides,ACTIVE,1,c3c9d320-542e-4635-ba65-925054187036
devices containing enriched lithium,ACTIVE,1,676f68b4-abc2-4ac2-b1e5-05fefd3fe529
devices containing enriched lithium alloys,ACTIVE,1,111fd946-befa-4f68-abc5-e740955e853b
devices containing enriched lithium compounds,ACTIVE,1,045d0b79-2326-443a-9528-e53a8ca313c4
devices containing enriched lithium manufactures,ACTIVE,1,b6bb59f8-11d4-4ea9-8f40-ed7d4e7bd373
devices containing enriched lithium mixtures,ACTIVE,1,ae2d086b-9f59-4445-bfbf-e34f0ff9a305
devices containing helium-3,ACTIVE,1,31ae8d76-a440-476a-ad81-7724443f4ecc
devices containing helium-3 mixtures,ACTIVE,1,588b2939-d12a-4d9f-92e5-068db8162451
devices containing military pyrotechnic materials,ACTIVE,1,18f79cab-1901-45f1-9f2e-3e9a6f5191f8
devices containing radium-226,ACTIVE,1,7786d856-ea50-46e9-8a7f-5d3423e1706e
devices containing radium-226 alloys,ACTIVE,1,c2128203-281a-4476-b296-997d4a04d35f
devices containing radium-226 compounds,ACTIVE,1,ed032872-ba39-4ecc-8ba6-9f2263c02239
devices containing radium-226 manufactures,ACTIVE,1,64c2c4fa-85ac-4741-9207-f9f6fc8c1388
devices containing radium-226 mixtures,ACTIVE,1,91a0eeea-e4d7-4816-bb3c-94f510f4bf06
devices containing tritium,ACTIVE,1,b1bbab7a-bf50-494b-a21c-4e3f51e6a535
devices containing tritium compounds,ACTIVE,1,67fa5dd5-302e-4786-b43d-fe852f892b62
