N3,PARENT,2,UK
N3A,PARENT,3,UK
N3A1,ACTIVE,4,UK
N3A2,PARENT,4,UK
N3A2a,ACTIVE,5,UK
N3A2b,ACTIVE,5,UK
N3A2c,PARENT,5,UK
N3A2c1,PARENT,6,UK
N3A2c1a,ACTIVE,7,UK
N3A2c1b,ACTIVE,7,UK
N3A2c2,ACTIVE,6,UK
N3A2d,ACTIVE,5,UK
N3A2e,ACTIVE,5,UK
N3A2f,ACTIVE,5,UK
N3A2g,ACTIVE,5,UK
N3A2h,ACTIVE,5,UK
N3A2i,ACTIVE,5,UK
N3A3,ACTIVE,4,UK
N3A4,ACTIVE,4,UK
N3A5,ACTIVE,4,UK
N3A6,ACTIVE,4,UK
N3A7,ACTIVE,4,UK
N3A8,ACTIVE,4,UK
N3A9,ACTIVE,4,UK
N3B,PARENT,3,UK
N3B1,ACTIVE,4,UK
N3B2,PARENT,4,UK
N3B2a,ACTIVE,5,UK
N3B2b,ACTIVE,5,UK
N3B2c,ACTIVE,5,UK
N3B3,PARENT,4,UK
N3B3a,ACTIVE,5,UK
N3B3b,ACTIVE,5,UK
N3B4,PARENT,4,UK
N3B4a,ACTIVE,5,UK
N3B4b,ACTIVE,5,UK
N3B4c,ACTIVE,5,UK
N3B5,ACTIVE,4,UK
N3B6,PARENT,4,UK
N3B6a,ACTIVE,5,UK
N3B6b,ACTIVE,5,UK
N3B6c,ACTIVE,5,UK
N3B6d,ACTIVE,5,UK
N3B6e,ACTIVE,5,UK
N3B6f,ACTIVE,5,UK
N3D,PARENT,3,UK
N3D1,ACTIVE,4,UK
N3D2,ACTIVE,4,UK
N3D3,ACTIVE,4,UK
N3E,PARENT,3,UK
N3E1,ACTIVE,4,UK
N4,PARENT,2,UK
N4A,PARENT,3,UK
N4A1,ACTIVE,4,UK
N4A2,ACTIVE,4,UK
N4A3,ACTIVE,4,UK
N4B,PARENT,3,UK
N4B1,PARENT,4,UK
N4B1a,ACTIVE,5,UK
N4B1b,ACTIVE,5,UK
N4B2,ACTIVE,4,UK
N4B3,ACTIVE,4,UK
N4B5,PARENT,4,UK
N4B5a,ACTIVE,5,UK
N4B5b,ACTIVE,5,UK
N4B5c,ACTIVE,5,UK
N4E,PARENT,3,UK
N4E1,ACTIVE,4,UK
N5,PARENT,2,UK
N5A,PARENT,3,UK
N5A1,ACTIVE,4,UK
N5B,PARENT,3,UK
N5B1,PARENT,4,UK
N5B1a,ACTIVE,5,UK
N5B1b,ACTIVE,5,UK
N5B2,ACTIVE,4,UK
N5B3,PARENT,4,UK
N5B3a,ACTIVE,5,UK
N5B3b,ACTIVE,5,UK
N5B3c,ACTIVE,5,UK
N5B4,PARENT,4,UK
N5B4a,ACTIVE,5,UK
N5B4b,ACTIVE,5,UK
N5B4c,ACTIVE,5,UK
N5B4d,PARENT,5,UK
N5B4d1,ACTIVE,6,UK
N5B4d2,ACTIVE,6,UK
N5B4d3,ACTIVE,6,UK
N5B4d4,ACTIVE,6,UK
N5B6,ACTIVE,4,UK
N5E,PARENT,3,UK
N5E1,ACTIVE,4,UK
N6,PARENT,2,UK
N6A,PARENT,3,UK
N6A1,PARENT,4,UK
N6A1a,PARENT,5,UK
N6A1a1,ACTIVE,6,UK
N6A1a2,ACTIVE,6,UK
N6A1a3,ACTIVE,6,UK
N6A1a4,ACTIVE,6,UK
N6A1b,ACTIVE,5,UK
N6A2,PARENT,4,UK
N6A2a,ACTIVE,5,UK
N6A2b,ACTIVE,5,UK
N6A3,PARENT,4,UK
N6A3a,ACTIVE,5,UK
N6A3b,ACTIVE,5,UK
N6A3c,ACTIVE,5,UK
N6A4,PARENT,4,UK
N6A4a,ACTIVE,5,UK
N6A4b,ACTIVE,5,UK
N6A5,ACTIVE,4,UK
N6C,PARENT,3,UK
N6C1,PARENT,4,UK
N6C1a,ACTIVE,5,UK
N6C1b,ACTIVE,5,UK
N6C1c,ACTIVE,5,UK
N6C1d,ACTIVE,5,UK
N6C1e,ACTIVE,5,UK
N6C1f,ACTIVE,0,UK
N6C1g,ACTIVE,0,UK
N6C1h,ACTIVE,0,UK
N6C1i,ACTIVE,0,UK
N6C1j,ACTIVE,0,UK
N6C1k,ACTIVE,0,UK
N6C1l,ACTIVE,0,UK
N6C1m,ACTIVE,0,UK
N6C1n,ACTIVE,0,UK
N6E,PARENT,3,UK
N6E1,ACTIVE,4,UK
